"","female","pid_self","postvote_presvtwho","relig_import","ft_dem","ft_rep","health_2010hcr","age","vote.obama","democrat","republican","independent","support.aca"
"1",0,1,1,1,"100","0",1,80,1,1,0,0,1
"2",1,1,1,1,"100","0",1,72,1,1,0,0,1
"3",0,3,1,0,"70","40",1,35,1,0,0,1,1
"4",1,1,1,1,"60","50",1,22,1,1,0,0,1
"5",0,2,NA,0,"50","60",3,49,NA,0,1,0,0
"6",0,3,NA,0,"50","50",1,47,NA,0,0,1,1
"7",1,1,1,1,"70","30",1,64,1,1,0,0,1
"8",1,2,2,1,"0","60",2,59,0,0,1,0,0
"9",0,2,2,1,"15","60",2,61,0,0,1,0,0
"10",0,2,2,1,"15","40",2,51,0,0,1,0,0
"11",0,2,2,0,"30","40",1,25,0,0,1,0,1
"12",0,1,NA,1,"50","40",1,29,NA,1,0,0,1
"13",0,3,2,1,"50","50",2,78,0,0,0,1,0
"14",0,3,2,1,"30","70",3,54,0,0,0,1,0
"15",1,2,2,1,"0","85",2,83,0,0,1,0,0
"16",0,3,1,1,"40","15",1,53,1,0,0,1,1
"17",1,3,1,1,"70","15",1,52,1,0,0,1,1
"18",1,3,NA,0,"85","50",3,36,NA,0,0,1,0
"19",1,3,NA,0,"60","60",2,46,NA,0,0,1,0
"20",1,3,1,1,"70","85",3,30,1,0,0,1,0
"21",1,3,NA,1,"50","50",1,18,NA,0,0,1,1
"22",1,2,2,0,"15","85",2,43,0,0,1,0,0
"23",1,1,1,1,"75","50",1,51,1,1,0,0,1
"24",1,1,1,1,"70","50",1,32,1,1,0,0,1
"25",1,3,2,1,"0","70",2,65,0,0,0,1,0
"26",1,2,2,0,"30","70",3,32,0,0,1,0,0
"27",1,2,2,1,"15","70",2,49,0,0,1,0,0
"28",1,2,2,1,"15","15",2,30,0,0,1,0,0
"29",0,3,2,0,"0","50",2,62,0,0,0,1,0
"30",1,2,NA,0,"50","70",3,30,NA,0,1,0,0
"31",1,2,2,1,"15","85",2,61,0,0,1,0,0
"32",0,1,1,1,"80","50",1,41,1,1,0,0,1
"33",0,2,NA,1,"15","50",2,43,NA,0,1,0,0
"34",1,NA,NA,0,"20","20",2,34,NA,NA,NA,NA,0
"35",1,NA,2,0,NA,NA,NA,30,0,NA,NA,NA,NA
"36",0,1,NA,1,"85","15",1,34,NA,1,0,0,1
"37",1,2,NA,0,"70","100",1,51,NA,0,1,0,1
"38",1,1,NA,1,"70","50",1,51,NA,1,0,0,1
"39",0,1,1,0,"60","50",3,65,1,1,0,0,0
"40",0,1,1,0,"85","15",1,78,1,1,0,0,1
"41",0,2,2,0,"0","70",2,39,0,0,1,0,0
"42",0,1,1,0,"100","0",1,72,1,1,0,0,1
"43",1,1,NA,0,"100","0",1,50,NA,1,0,0,1
"44",1,2,2,1,"40","85",1,49,0,0,1,0,1
"45",0,3,NA,0,"50","50",3,24,NA,0,0,1,0
"46",1,1,NA,1,"100","40",1,22,NA,1,0,0,1
"47",1,1,NA,1,"70","70",2,55,NA,1,0,0,0
"48",0,NA,1,1,"70","0",3,30,1,NA,NA,NA,0
"49",0,1,1,1,"70","30",1,49,1,1,0,0,1
"50",0,3,2,0,"0","0",2,23,0,0,0,1,0
"51",1,1,NA,0,"100","0",1,71,NA,1,0,0,1
"52",1,2,2,1,"30","60",2,43,0,0,1,0,0
"53",1,3,2,1,"40","95",2,53,0,0,0,1,0
"54",0,1,NA,NA,"80","50",2,18,NA,1,0,0,0
"55",0,1,1,0,"70","0",1,57,1,1,0,0,1
"56",0,1,1,1,"70","0",1,63,1,1,0,0,1
"57",0,2,NA,0,"35","45",3,26,NA,0,1,0,0
"58",0,3,2,0,"0","0",2,57,0,0,0,1,0
"59",0,2,2,1,"15","60",2,56,0,0,1,0,0
"60",1,2,2,1,"30","70",2,84,0,0,1,0,0
"61",0,3,NA,0,"40","40",2,28,NA,0,0,1,0
"62",1,2,2,1,"60","60",2,49,0,0,1,0,0
"63",0,2,2,1,"40","60",2,43,0,0,1,0,0
"64",1,2,2,1,"30","85",2,50,0,0,1,0,0
"65",1,2,2,1,"15","70",2,35,0,0,1,0,0
"66",0,2,2,1,"40","85",3,29,0,0,1,0,0
"67",0,2,2,1,"0","100",2,61,0,0,1,0,0
"68",0,NA,2,1,"60","50",3,56,0,NA,NA,NA,0
"69",1,1,1,1,"100","30",1,31,1,1,0,0,1
"70",0,1,1,1,"85","40",1,49,1,1,0,0,1
"71",1,1,1,1,"100","30",1,34,1,1,0,0,1
"72",0,NA,2,1,"40","60",2,70,0,NA,NA,NA,0
"73",1,1,1,1,"60","40",1,33,1,1,0,0,1
"74",1,1,1,1,"85","60",3,67,1,1,0,0,0
"75",0,1,NA,0,"85","60",3,50,NA,1,0,0,0
"76",1,3,2,1,"50","50",3,65,0,0,0,1,0
"77",0,1,1,1,"70","0",1,78,1,1,0,0,1
"78",0,NA,NA,0,"85","30",2,76,NA,NA,NA,NA,0
"79",0,1,2,1,"50","50",2,62,0,1,0,0,0
"80",0,2,NA,0,"50","60",2,71,NA,0,1,0,0
"81",1,3,NA,1,"50","50",1,52,NA,0,0,1,1
"82",0,3,NA,1,"70","50",1,24,NA,0,0,1,1
"83",1,3,2,0,"50","50",2,34,0,0,0,1,0
"84",0,1,NA,1,"85","40",1,79,NA,1,0,0,1
"85",1,3,1,1,"70","15",1,41,1,0,0,1,1
"86",1,1,1,1,"100","30",1,47,1,1,0,0,1
"87",1,3,NA,1,"85","50",3,20,NA,0,0,1,0
"88",1,3,1,1,"60","30",1,41,1,0,0,1,1
"89",1,NA,2,1,"50","50",1,37,0,NA,NA,NA,1
"90",1,NA,2,1,"40","50",2,84,0,NA,NA,NA,0
"91",1,3,1,1,"85","40",1,42,1,0,0,1,1
"92",0,3,2,1,"30","70",2,42,0,0,0,1,0
"93",0,3,2,0,"60","70",3,33,0,0,0,1,0
"94",0,1,1,1,"70","50",1,56,1,1,0,0,1
"95",0,3,NA,1,"30","60",2,35,NA,0,0,1,0
"96",1,2,1,1,"60","40",2,36,1,0,1,0,0
"97",0,2,2,1,"60","85",2,41,0,0,1,0,0
"98",1,1,1,1,"60","50",1,57,1,1,0,0,1
"99",0,2,2,1,"60","85",1,53,0,0,1,0,1
"100",1,1,1,1,"100","40",1,26,1,1,0,0,1
"101",1,1,1,1,"70","0",1,32,1,1,0,0,1
"102",1,1,1,1,"100","15",1,37,1,1,0,0,1
"103",0,1,NA,1,"70","50",2,45,NA,1,0,0,0
"104",1,2,2,1,"30","85",NA,34,0,0,1,0,NA
